2008-01-30 17:58:36,796, INFO, Creating DB ...
2008-01-30 17:58:36,796, INFO, Creating table ...
2008-01-30 17:58:36,796, DEBUG, CREATE TABLE largetable (_internal_id INT NOT NULL, col1 VARCHAR(100), col2 VARCHAR(100), col3 INT, col4 DATETIME, col5 VARCHAR(100), col6 VARCHAR(100), col7 VARCHAR(100), col8 VARCHAR(100)) ENGINE=InnoDB
2008-01-30 17:58:36,953, INFO, Start to load data ...
2008-01-30 17:58:36,953, DEBUG, abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ1234567890
2008-01-30 17:58:38,796, INFO, Commiting... 1, 1000
2008-01-30 17:58:39,953, INFO, Commiting... 2, 1000
2008-01-30 17:58:41,421, INFO, Commiting... 3, 1000
2008-01-30 17:58:42,640, INFO, Commiting... 4, 1000
2008-01-30 17:58:43,875, INFO, Commiting... 5, 1000
2008-01-30 17:58:45,062, INFO, Commiting... 6, 1000
2008-01-30 17:58:46,250, INFO, Commiting... 7, 1000
2008-01-30 17:58:47,421, INFO, Commiting... 8, 1000
2008-01-30 17:58:49,390, INFO, Commiting... 9, 1000
2008-01-30 17:58:50,592, INFO, Commiting... 10, 1000
2008-01-30 17:58:51,858, INFO, Commiting... 11, 1000
2008-01-30 17:58:54,108, INFO, Commiting... 12, 1000
2008-01-30 17:58:55,375, INFO, Commiting... 13, 1000
2008-01-30 17:58:56,967, INFO, Commiting... 14, 1000
2008-01-30 17:58:58,578, INFO, Commiting... 15, 1000
2008-01-30 17:58:59,812, INFO, Commiting... 16, 1000
2008-01-30 17:59:01,453, INFO, Commiting... 17, 1000
2008-01-30 17:59:03,217, INFO, Commiting... 18, 1000
2008-01-30 17:59:04,467, INFO, Commiting... 19, 1000
2008-01-30 17:59:05,905, INFO, Commiting... 20, 1000
2008-01-30 17:59:07,625, INFO, Commiting... 21, 1000
2008-01-30 17:59:08,858, INFO, Commiting... 22, 1000
2008-01-30 17:59:10,780, INFO, Commiting... 23, 1000
2008-01-30 17:59:12,530, INFO, Commiting... 24, 1000
2008-01-30 17:59:13,812, INFO, Commiting... 25, 1000
2008-01-30 17:59:15,342, INFO, Commiting... 26, 1000
2008-01-30 17:59:17,000, INFO, Commiting... 27, 1000
2008-01-30 17:59:18,250, INFO, Commiting... 28, 1000
2008-01-30 17:59:19,437, INFO, Commiting... 29, 1000
2008-01-30 17:59:21,312, INFO, Commiting... 30, 1000
2008-01-30 17:59:22,530, INFO, Commiting... 31, 1000
2008-01-30 17:59:24,437, INFO, Commiting... 32, 1000
2008-01-30 17:59:26,233, INFO, Commiting... 33, 1000
2008-01-30 17:59:27,562, INFO, Commiting... 34, 1000
2008-01-30 17:59:29,530, INFO, Commiting... 35, 1000
2008-01-30 17:59:31,125, INFO, Commiting... 36, 1000
2008-01-30 17:59:32,390, INFO, Commiting... 37, 1000
2008-01-30 17:59:34,140, INFO, Commiting... 38, 1000
2008-01-30 17:59:35,328, INFO, Commiting... 39, 1000
2008-01-30 17:59:37,140, INFO, Commiting... 40, 1000
2008-01-30 17:59:38,390, INFO, Commiting... 41, 1000
2008-01-30 17:59:39,640, INFO, Commiting... 42, 1000
2008-01-30 17:59:41,437, INFO, Commiting... 43, 1000
2008-01-30 17:59:42,796, INFO, Commiting... 44, 1000
2008-01-30 17:59:44,000, INFO, Commiting... 45, 1000
2008-01-30 17:59:45,717, INFO, Commiting... 46, 1000
2008-01-30 17:59:47,592, INFO, Commiting... 47, 1000
2008-01-30 17:59:48,780, INFO, Commiting... 48, 1000
2008-01-30 17:59:50,640, INFO, Commiting... 49, 1000
2008-01-30 17:59:52,092, INFO, Commiting... 50, 1000
2008-01-30 17:59:53,280, INFO, Commiting... 51, 1000
2008-01-30 17:59:54,842, INFO, Commiting... 52, 1000
2008-01-30 17:59:56,203, INFO, Commiting... 53, 1000
2008-01-30 17:59:57,405, INFO, Commiting... 54, 1000
2008-01-30 17:59:59,233, INFO, Commiting... 55, 1000
2008-01-30 18:00:00,842, INFO, Commiting... 56, 1000
2008-01-30 18:00:02,062, INFO, Commiting... 57, 1000
2008-01-30 18:00:03,655, INFO, Commiting... 58, 1000
2008-01-30 18:00:05,546, INFO, Commiting... 59, 1000
2008-01-30 18:00:07,062, INFO, Commiting... 60, 1000
2008-01-30 18:00:08,358, INFO, Commiting... 61, 1000
2008-01-30 18:00:09,812, INFO, Commiting... 62, 1000
2008-01-30 18:00:11,015, INFO, Commiting... 63, 1000
2008-01-30 18:00:12,890, INFO, Commiting... 64, 1000
2008-01-30 18:00:14,092, INFO, Commiting... 65, 1000
2008-01-30 18:00:15,671, INFO, Commiting... 66, 1000
2008-01-30 18:00:17,233, INFO, Commiting... 67, 1000
2008-01-30 18:00:18,687, INFO, Commiting... 68, 1000
2008-01-30 18:00:19,983, INFO, Commiting... 69, 1000
2008-01-30 18:00:22,233, INFO, Commiting... 70, 1000
2008-01-30 18:00:23,453, INFO, Commiting... 71, 1000
2008-01-30 18:00:24,655, INFO, Commiting... 72, 1000
2008-01-30 18:00:26,750, INFO, Commiting... 73, 1000
2008-01-30 18:00:28,078, INFO, Commiting... 74, 1000
2008-01-30 18:00:29,265, INFO, Commiting... 75, 1000
2008-01-30 18:00:31,125, INFO, Commiting... 76, 1000
2008-01-30 18:00:32,358, INFO, Commiting... 77, 1000
2008-01-30 18:00:33,608, INFO, Commiting... 78, 1000
2008-01-30 18:00:35,390, INFO, Commiting... 79, 1000
2008-01-30 18:00:36,655, INFO, Commiting... 80, 1000
2008-01-30 18:00:38,405, INFO, Commiting... 81, 1000
2008-01-30 18:00:40,328, INFO, Commiting... 82, 1000
2008-01-30 18:00:41,671, INFO, Commiting... 83, 1000
2008-01-30 18:00:42,875, INFO, Commiting... 84, 1000
